trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Tarantino Christina M.,BMI,P - Purchase,2026-04-21,870,"+$99,006",$113.80,Badger Meter Inc,VP-Controller,2026-04-22 11:30:02,openinsider,top_officer_month,,1801,+93%,,,,,1,2026-05-01T08-03-46Z
Virtue Douglas A,VIRC,P - Purchase,2026-04-14,16027,"+$97,517",$6.08,Virco Mfg Corporation,EVP,2026-04-15 17:34:22,openinsider,top_officer_month,M,877866,+2%,,,,,1,2026-05-01T08-03-46Z
Kidambi Tridivesh,SST,P - Purchase,2026-04-15,26910,"+$80,730",$3.00,"System1, Inc.",CFO,2026-04-17 20:33:35,openinsider,top_officer_month,,146515,+22%,,,,,1,2026-05-01T08-03-46Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-15,28500,"+$79,510",$2.79,Baozun Inc.,CEO,2026-04-17 07:33:04,openinsider,top_officer_month,M,1417872,+2%,,,,,1,2026-05-01T08-03-46Z
Wu Junhua,BZUN,P - Purchase,2026-04-08,30886,"+$78,450",$2.54,Baozun Inc.,Chief Strategy Officer,2026-04-10 06:18:23,openinsider,top_officer_month,,122314,+34%,,,,,1,2026-05-01T08-03-46Z
Wu Junhua,BZUN,P - Purchase,2026-04-02,30000,"+$74,019",$2.47,Baozun Inc.,Chief Strategy Officer,2026-04-06 08:47:33,openinsider,top_officer_month,,91428,+49%,,,,,1,2026-05-01T08-03-46Z
Aslidis Anastasios,ESEA,P - Purchase,2026-04-14,1000,"+$70,820",$70.82,Euroseas Ltd.,CFO,2026-04-16 15:21:40,openinsider,top_officer_month,,25910,+4%,,,,,1,2026-05-01T08-03-46Z
Valentine Andre S,CNXC,P - Purchase,2026-04-09,2500,"+$69,869",$27.95,Concentrix Corp,CFO,2026-04-09 16:19:58,openinsider,top_officer_month,,89066,+3%,,,,,1,2026-05-01T08-03-46Z
Dakos Andrew,SWZ,P - Purchase,2026-04-16,11265,"+$68,315",$6.06,Total Return Securities Fund,"Pres, CEO",2026-04-20 16:22:59,openinsider,top_officer_month,M,146000,+8%,,,,,1,2026-05-01T08-03-46Z
Donley Brian E.,SVC,P - Purchase,2026-04-02,55000,"+$66,000",$1.20,Service Properties Trust,"CFO, Treasurer",2026-04-02 14:04:03,openinsider,top_officer_month,,203660,+37%,,,,,1,2026-05-01T08-03-46Z
Little Harrison James,KYN,P - Purchase,2026-04-17,5000,"+$65,951",$13.19,"Kayne Anderson Energy Infrastructure Fund, Inc.",EVP,2026-04-20 14:11:46,openinsider,top_officer_month,,20662,+32%,,,,,1,2026-05-01T08-03-46Z
Hoag Erik D,TNL,P - Purchase,2026-04-23,1000,"+$65,670",$65.67,Travel & Leisure Co.,CFO,2026-04-23 15:30:31,openinsider,top_officer_month,,111336,+1%,,,,,1,2026-05-01T08-03-46Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-13,23600,"+$60,253",$2.55,Baozun Inc.,CEO,2026-04-15 06:30:18,openinsider,top_officer_month,M,1389372,+2%,,,,,1,2026-05-01T08-03-46Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-07,23600,"+$60,048",$2.54,Baozun Inc.,CEO,2026-04-09 06:31:38,openinsider,top_officer_month,M,1341722,+2%,,,,,1,2026-05-01T08-03-46Z
Swetman Chevis,PFBX,P - Purchase,2026-04-29,2500,"+$53,750",$21.50,Peoples Financial Corp /Ms/,"CEO, Pres, 10%",2026-04-29 18:19:28,openinsider,top_officer_month,,427713,+1%,,,,,1,2026-05-01T08-03-46Z
Beck Scott Arthur,GLOO,P - Purchase,2026-04-17,6500,"+$51,833",$7.97,"Gloo Holdings, Inc.","Pres, CEO, 10%",2026-04-20 17:54:26,openinsider,top_officer_month,DM,446386,+1%,,,,,1,2026-05-01T08-03-46Z
Patel Mahesh V.,LPCN,P - Purchase,2026-04-06,25000,"+$50,750",$2.03,Lipocine Inc.,CEO,2026-04-06 18:33:10,openinsider,top_officer_month,,160679,+18%,,,,,1,2026-05-01T08-03-46Z
Patel Mahesh V.,LPCN,P - Purchase,2026-04-02,25000,"+$50,500",$2.02,Lipocine Inc.,CEO,2026-04-02 17:05:58,openinsider,top_officer_month,,135679,+23%,,,,,1,2026-05-01T08-03-46Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-17,16000,"+$50,240",$3.14,Baozun Inc.,CEO,2026-04-21 06:15:56,openinsider,top_officer_month,,1433872,+1%,,,,,1,2026-05-01T08-03-46Z
Painter Jennifer Hankes,EFOR,P - Purchase,2026-04-24,2500,"+$50,078",$20.03,Everforth Inc,"SVP, GC",2026-04-27 07:57:30,openinsider,top_officer_month,,76061,+3%,,,,,1,2026-05-01T08-03-46Z
Ohsberg Ronald S.,WASH,P - Purchase,2026-04-24,1606,"+$49,786",$31.00,Washington Trust Bancorp Inc,"SEVP, CFO, Treasurer",2026-04-28 17:07:44,openinsider,top_officer_month,,29705,+6%,,,,,1,2026-05-01T08-03-46Z
Campanelli Joseph P,NBBK,P - Purchase,2026-04-24,2500,"+$48,618",$19.45,"Nb Bancorp, Inc.","Pres, CEO",2026-04-27 14:51:58,openinsider,top_officer_month,,478937,+1%,,,,,1,2026-05-01T08-03-46Z
