trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Dines Daniel,PATH,S - Sale,2025-10-10,-122734,"-$2,254,881",$18.37,"Uipath, Inc.","CEO, COB, 10%",2025-10-10 17:12:56,openinsider,ceo_sales_100k,,30649521,0%,,,,,1,2025-10-14T11-58-19Z
Rothblatt Martine A,UTHR,S - Sale+OE,2025-10-09,-8000,"-$3,574,444",$446.81,United Therapeutics Corp,"CHAIRPERSON, CEO",2025-10-10 17:03:10,openinsider,ceo_sales_100k,DM,644489,-1%,,,,,1,2025-10-14T11-58-19Z
Dell Michael S,DELL,S - Sale,2025-10-09,-6253968,"-$1,000,053,261",$159.91,Dell Technologies Inc.,"CEO, 10%",2025-10-10 17:01:07,openinsider,ceo_sales_100k,,17538273,-26%,,,,,1,2025-10-14T11-58-19Z
Diez-Canseco Russell,VITL,S - Sale,2025-10-08,-9667,"-$429,098",$44.39,"Vital Farms, Inc.","Pres, CEO",2025-10-10 16:55:03,openinsider,ceo_sales_100k,,666109,-1%,,,,,1,2025-10-14T11-58-19Z
Fleming Daniel W.,CRDO,S - Sale,2025-10-08,-112580,"-$15,558,280",$138.20,Credo Technology Group Holding Ltd,CFO,2025-10-10 16:49:39,openinsider,ceo_sales_100k,,458678,-20%,,,,,1,2025-10-14T11-58-19Z
Cannon-Brookes Michael,TEAM,S - Sale,2025-10-09,-7665,"-$1,138,581",$148.54,Atlassian Corp,"CEO, Co-Founder, 10%",2025-10-10 16:12:10,openinsider,ceo_sales_100k,,436905,-2%,,,,,1,2025-10-14T11-58-19Z
Laponis Adam,TWST,S - Sale,2025-10-08,-5517,"-$176,315",$31.96,Twist Bioscience Corp,CFO,2025-10-10 16:05:09,openinsider,ceo_sales_100k,M,91525,-6%,,,,,1,2025-10-14T11-58-19Z
Gardner Donald T. III,KEQU,S - Sale,2025-10-09,-3000,"-$128,280",$42.76,Kewaunee Scientific Corp /De/,CFO,2025-10-10 08:44:28,openinsider,ceo_sales_100k,,11564,-21%,,,,,1,2025-10-14T11-58-19Z
McClain Mark D.,SAIL,S - Sale,2025-10-07,-468486,"-$10,527,453",$22.47,"Sailpoint, Inc.",CEO,2025-10-09 19:31:14,openinsider,ceo_sales_100k,M,7321651,-6%,,,,,1,2025-10-14T11-58-19Z
Carolan Brian,SAIL,S - Sale,2025-10-07,-157763,"-$3,543,168",$22.46,"Sailpoint, Inc.",CFO,2025-10-09 19:28:54,openinsider,ceo_sales_100k,M,1336628,-11%,,,,,1,2025-10-14T11-58-19Z
Intrator Michael N,CRWV,S - Sale,2025-10-08,-15174,"-$2,119,125",$139.66,"Coreweave, Inc.","CEO, Pres, 10%",2025-10-09 17:33:24,openinsider,ceo_sales_100k,,0,-100%,,,,,1,2025-10-14T11-58-19Z
Cannon-Brookes Michael,TEAM,S - Sale,2025-10-08,-7665,"-$1,156,861",$150.93,Atlassian Corp,"CEO, Co-Founder, 10%",2025-10-09 17:33:10,openinsider,ceo_sales_100k,,444570,-2%,,,,,1,2025-10-14T11-58-19Z
Intrator Michael N,CRWV,S - Sale+OE,2025-10-07,-129091,"-$17,284,704",$133.90,"Coreweave, Inc.","CEO, Pres, 10%",2025-10-09 17:32:28,openinsider,ceo_sales_100k,DM,7071139,-2%,,,,,1,2025-10-14T11-58-19Z
Roper Martin,COCO,S - Sale+OE,2025-10-07,-7894,"-$337,697",$42.78,"Vita Coco Company, Inc.",CEO,2025-10-09 16:57:26,openinsider,ceo_sales_100k,D,1011655,-1%,,,,,1,2025-10-14T11-58-19Z
Benioff Marc,CRM,S - Sale+OE,2025-10-08,-2250,"-$539,533",$239.79,"Salesforce, Inc.","Chair, CEO",2025-10-09 16:45:33,openinsider,ceo_sales_100k,D,22018571,0%,,,,,1,2025-10-14T11-58-19Z
Brennan William Joseph,CRDO,S - Sale,2025-10-07,-18952,"-$2,683,418",$141.59,Credo Technology Group Holding Ltd,"Pres, CEO",2025-10-09 16:38:14,openinsider,ceo_sales_100k,M,2330425,-1%,,,,,1,2025-10-14T11-58-19Z
