trader_name,ticker,transaction_type,transaction_date,shares,price,filing_date,source,section,page,scraped_at
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",22078,$150.36,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",2204,$146.65,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",3567,$144.55,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",5610,$150.3,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",136,$147.84,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",38694,$148.5,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",11104,$150.36,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",275,$147.4,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",1801,$144.55,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",6230,$144.39,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",491,$145.9,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",16560,$151.31,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",1112,$146.65,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",834,$145.87,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",1650,$145.87,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",80,$142.02,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",87103,$148.5,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",139,$147.4,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",588,$146.61,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",173192,$148.5,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",288,$146.65,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",8329,$151.31,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",22709,$148.5,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",36,$147.4,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",2171,$151.31,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",461,$144.55,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",216,$145.87,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",2895,$150.36,"Oct. 14, 2025, 6 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",30,$146.65,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",24,$145.87,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",50619,$148.5,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",6454,$150.36,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",1038,$144.55,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",2350,$148.5,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",4840,$151.31,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",224,$151.31,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",646,$146.65,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",81,$147.4,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",4,$147.4,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",6644,$151.31,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Magnetar Financial LLC,CRWV,Sale,"Oct 10, 2025",111,$147.4,"Oct. 10, 2025, 9:59 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
