trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Barry Timothy T.,SVBL,P - Purchase,2026-04-08,195800,"+$43,076",$0.22,"Silver Bull Resources, Inc.",CEO,2026-04-14 17:15:12,openinsider,penny_buys,M,1966181,+11%,,,,,1,2026-05-01T08-03-29Z
Intelligent Fanatics Capital Management LLC,KLNG,P - Purchase,2026-04-13,36322,"+$62,474",$1.72,"Koil Energy Solutions, Inc.",10%,2026-04-14 16:07:17,openinsider,penny_buys,,3134262,+1%,,,,,1,2026-05-01T08-03-29Z
Rossi Steven F.,WKSP,P - Purchase,2026-04-13,88214,"+$75,000",$0.85,Worksport Ltd,"CEO, Pres",2026-04-14 08:25:41,openinsider,penny_buys,,2614085,+3%,,,,,1,2026-05-01T08-03-29Z
Wu Junhua,BZUN,P - Purchase,2026-04-10,16456,"+$40,492",$2.46,Baozun Inc.,Chief Strategy Officer,2026-04-14 07:47:08,openinsider,penny_buys,M,138770,+13%,,,,,1,2026-05-01T08-03-29Z
Chernett Jorey,TOI,P - Purchase,2026-04-09,20000,"+$62,000",$3.10,"Oncology Institute, Inc.",10%,2026-04-13 09:03:52,openinsider,penny_buys,,10499358,0%,,,,,1,2026-05-01T08-03-29Z
George Gregory,MESO,P - Purchase,2026-04-04,7910962,"+$11,396,977",$1.44,Mesoblast Ltd,"Dir, 10%",2026-04-13 07:19:39,openinsider,penny_buys,M,33910962,+30%,,,,,1,2026-05-01T08-03-29Z
George Gregory,MESO,P - Purchase,2026-04-04,8305962,"+$26,135,093",$3.15,Mesoblast Ltd,"Dir, 10%",2026-04-10 19:27:51,openinsider,penny_buys,M,33910962,+32%,,,,,1,2026-05-01T08-03-29Z
"Forager Fund, L.P.",RPAY,P - Purchase,2026-04-07,913711,"+$2,304,426",$2.52,Repay Holdings Corp,10%,2026-04-10 16:01:14,openinsider,penny_buys,AM,11106648,+9%,,,,,1,2026-05-01T08-03-29Z
"Forager Fund, L.P.",RPAY,P - Purchase,2026-04-01,950000,"+$2,408,384",$2.54,Repay Holdings Corp,10%,2026-04-10 15:58:53,openinsider,penny_buys,AM,10192937,+10%,,,,,1,2026-05-01T08-03-29Z
"Forager Fund, L.P.",RPAY,P - Purchase,2026-03-25,642837,"+$1,935,060",$3.01,Repay Holdings Corp,10%,2026-04-10 15:57:49,openinsider,penny_buys,AM,9242937,+7%,,,,,1,2026-05-01T08-03-29Z
Heshmatpour Amir F,NTHI,P - Purchase,2026-04-10,10000,"+$48,950",$4.90,"Neonc Technologies Holdings, Inc.","Pres, 10%",2026-04-10 15:29:47,openinsider,penny_buys,,7562140,0%,,,,,1,2026-05-01T08-03-29Z
Wu Junhua,BZUN,P - Purchase,2026-04-08,30886,"+$78,450",$2.54,Baozun Inc.,Chief Strategy Officer,2026-04-10 06:18:23,openinsider,penny_buys,,122314,+34%,,,,,1,2026-05-01T08-03-29Z
Steel Partners Holdings L.P.,SPRU,P - Purchase,2026-04-07,19532,"+$77,900",$3.99,Spruce Power Holding Corp,10%,2026-04-09 18:41:56,openinsider,penny_buys,M,3381099,+1%,,,,,1,2026-05-01T08-03-29Z
"Forager Fund, L.P.",RPAY,P - Purchase,2026-04-07,913711,"+$2,304,426",$2.52,Repay Holdings Corp,10%,2026-04-09 18:33:54,openinsider,penny_buys,M,11106648,+9%,,,,,1,2026-05-01T08-03-29Z
Hrt Financial LP,LGHL,P - Purchase,2026-04-02,56652,"+$48,808",$0.86,Lion Group Holding Ltd,10%,2026-04-09 12:04:19,openinsider,penny_buys,M,41765,-381%,,,,,1,2026-05-01T08-03-29Z
Qiu Wenbin,BZUN,P - Purchase,2026-04-07,23600,"+$60,048",$2.54,Baozun Inc.,CEO,2026-04-09 06:31:38,openinsider,penny_buys,M,1341722,+2%,,,,,1,2026-05-01T08-03-29Z
Ajjarapu J. Ram,XAGE,P - Purchase,2026-03-16,689656,"+$200,000",$0.29,"Longevity Health Holdings, Inc.","CEO, 10%",2026-04-08 17:47:11,openinsider,penny_buys,,689656,New,,,,,1,2026-05-01T08-03-29Z
Chernett Jorey,AIRS,P - Purchase,2026-04-07,60000,"+$175,800",$2.93,"Airsculpt Technologies, Inc.",10%,2026-04-08 09:09:31,openinsider,penny_buys,,6993761,+1%,,,,,1,2026-05-01T08-03-29Z
Higuchi John W.,LPCN,P - Purchase,2026-04-07,40000,"+$81,200",$2.03,Lipocine Inc.,Dir,2026-04-07 18:27:25,openinsider,penny_buys,,203797,+24%,,,,,1,2026-05-01T08-03-29Z
Dixon Robert E,MKZR,P - Purchase,2026-04-06,10000,"+$34,972",$3.50,"Mackenzie Realty Capital, Inc.","CEO, Pres",2026-04-07 15:19:10,openinsider,penny_buys,,146665,+7%,,,,,1,2026-05-01T08-03-29Z
Jackson Jason Dale,LCFY,P - Purchase,2026-04-02,9285,"+$38,997",$4.20,Locafy Ltd,COO,2026-04-07 12:28:02,openinsider,penny_buys,,11050,+526%,,,,,1,2026-05-01T08-03-29Z
Ma Cunjun,HUIZ,P - Purchase,2026-03-30,7842032,"+$113,976",$0.01,Huize Holding Ltd,"CEO, 10%",2026-04-07 06:19:04,openinsider,penny_buys,AM,7942232,>999%,,,,,1,2026-05-01T08-03-29Z
Higuchi John W.,LPCN,P - Purchase,2026-04-06,123000,"+$252,150",$2.05,Lipocine Inc.,Dir,2026-04-06 19:01:22,openinsider,penny_buys,,163797,+301%,,,,,1,2026-05-01T08-03-29Z
Patel Mahesh V.,LPCN,P - Purchase,2026-04-06,25000,"+$50,750",$2.03,Lipocine Inc.,CEO,2026-04-06 18:33:10,openinsider,penny_buys,,160679,+18%,,,,,1,2026-05-01T08-03-29Z
Gill John,ALT,P - Purchase,2026-04-06,9200,"+$31,350",$3.41,"Altimmune, Inc.",Dir,2026-04-06 16:05:16,openinsider,penny_buys,,21700,+74%,,,,,1,2026-05-01T08-03-29Z
Chernett Jorey,AIRS,P - Purchase,2026-04-03,90000,"+$253,800",$2.82,"Airsculpt Technologies, Inc.",10%,2026-04-06 09:34:45,openinsider,penny_buys,,6933761,+1%,,,,,1,2026-05-01T08-03-29Z
Wu Junhua,BZUN,P - Purchase,2026-04-02,30000,"+$74,019",$2.47,Baozun Inc.,Chief Strategy Officer,2026-04-06 08:47:33,openinsider,penny_buys,,91428,+49%,,,,,1,2026-05-01T08-03-29Z
Fraiche Donna D.,SVC,P - Purchase,2026-04-02,83333,"+$100,000",$1.20,Service Properties Trust,Dir,2026-04-06 08:19:42,openinsider,penny_buys,,182013,+84%,,,,,1,2026-05-01T08-03-29Z
Bruno Thomas,CULP,P - Purchase,2026-04-02,10000,"+$27,650",$2.77,Culp Inc,Chief Commercial Officer,2026-04-06 08:11:28,openinsider,penny_buys,,90000,+13%,,,,,1,2026-05-01T08-03-29Z
Hoffman Michael B,ANVS,P - Purchase,2026-04-02,713800,"+$1,498,980",$2.10,"Annovis Bio, Inc.",Dir,2026-04-03 17:06:28,openinsider,penny_buys,,3511896,+26%,,,,,1,2026-05-01T08-03-29Z
"Forager Fund, L.P.",RPAY,P - Purchase,2026-04-01,950000,"+$2,408,384",$2.54,Repay Holdings Corp,10%,2026-04-03 14:14:25,openinsider,penny_buys,M,10192937,+10%,,,,,1,2026-05-01T08-03-29Z
Wenshan Xie,EJH,P - Purchase,2026-04-01,540000,"+$675,000",$1.25,E-Home Household Service Holdings Ltd,"COB, CEO, 10%",2026-04-03 10:56:58,openinsider,penny_buys,,552295,>999%,,,,,1,2026-05-01T08-03-29Z
Winn Walter Timothy,SLND,P - Purchase,2026-03-31,29177,"+$42,890",$1.47,"Southland Holdings, Inc.","CO-COO, EVP",2026-04-02 20:00:07,openinsider,penny_buys,,1950721,+2%,,,,,1,2026-05-01T08-03-29Z
Skaff Michael C,VVOS,P - Purchase,2026-03-31,1353625,"+$1,813,858",$1.34,"Vivos Therapeutics, Inc.",10%,2026-04-02 19:34:11,openinsider,penny_buys,D,1353625,New,,,,,1,2026-05-01T08-03-29Z
